ModelKey,Keyword,Count
gemini-strategy1-v13,scrum,4
gemini-strategy1-v13,benefit,1
gemini-strategy1-v13,must match,1
gemini-strategy1-v13,optimization problem,1
gemini-strategy1-v13,product backlog,1
mistral-strategy1-v1,scrum,4
mistral-strategy1-v1,benefit,1
mistral-strategy1-v1,must match,1
mistral-strategy1-v1,optimization problem,1
mistral-strategy1-v1,product backlog,1
meta-ai-strategy1-v2,scrum,4
meta-ai-strategy1-v2,benefit,1
meta-ai-strategy1-v2,must match,1
meta-ai-strategy1-v2,optimization problem,1
meta-ai-strategy1-v2,product backlog,1
qwen-strategy1-v1,scrum,4
qwen-strategy1-v1,benefit,1
qwen-strategy1-v1,must match,1
qwen-strategy1-v1,optimization problem,1
qwen-strategy1-v1,product backlog,1
qwen-strategy1-v13,scrum,4
qwen-strategy1-v13,benefit,1
qwen-strategy1-v13,must match,1
qwen-strategy1-v13,optimization problem,1
qwen-strategy1-v13,product backlog,1
qwen-strategy1-v2,scrum,4
qwen-strategy1-v2,benefit,1
qwen-strategy1-v2,must match,1
qwen-strategy1-v2,optimization problem,1
qwen-strategy1-v2,product backlog,1
mistral-strategy0-v2,prompt,2
mistral-strategy0-v2,scrum,2
mistral-strategy0-v2,entity,1
meta-ai-strategy0-v1,prompt,2
meta-ai-strategy0-v1,scrum,2
meta-ai-strategy0-v1,entity,1
gemini-strategy0-v13,prompt,2
gemini-strategy0-v13,scrum,2
gemini-strategy0-v13,entity,1
gemini-strategy0-v2,prompt,2
gemini-strategy0-v2,scrum,2
gemini-strategy0-v2,entity,1
gemini-strategy0-v1,prompt,2
gemini-strategy0-v1,scrum,2
gemini-strategy0-v1,entity,1
meta-ai-strategy0-v13,prompt,2
meta-ai-strategy0-v13,scrum,2
meta-ai-strategy0-v13,entity,1
qwen-strategy0-v1,prompt,2
qwen-strategy0-v1,scrum,2
qwen-strategy0-v1,entity,1
meta-ai-strategy0-v2,prompt,2
meta-ai-strategy0-v2,scrum,2
meta-ai-strategy0-v2,entity,1
chat-gpt-strategy0-v1,prompt,2
chat-gpt-strategy0-v1,scrum,2
chat-gpt-strategy0-v1,entity,1
chat-gpt-strategy0-v2,prompt,2
chat-gpt-strategy0-v2,scrum,2
chat-gpt-strategy0-v2,entity,1
qwen-strategy0-v13,prompt,2
qwen-strategy0-v13,scrum,2
qwen-strategy0-v13,entity,1
qwen-strategy0-v2,prompt,2
qwen-strategy0-v2,scrum,2
qwen-strategy0-v2,entity,1
chat-gpt-strategy0-v13,prompt,2
chat-gpt-strategy0-v13,scrum,2
chat-gpt-strategy0-v13,entity,1
ms-copilot-strategy0-v13,prompt,2
ms-copilot-strategy0-v13,scrum,2
ms-copilot-strategy0-v13,entity,1
ms-copilot-strategy0-v2,prompt,2
ms-copilot-strategy0-v2,scrum,2
ms-copilot-strategy0-v2,entity,1
mistral-strategy0-v1,prompt,2
mistral-strategy0-v1,scrum,2
mistral-strategy0-v1,entity,1
mistral-strategy0-v13,prompt,2
mistral-strategy0-v13,scrum,2
mistral-strategy0-v13,entity,1
ms-copilot-strategy0-v1,prompt,2
ms-copilot-strategy0-v1,scrum,2
ms-copilot-strategy0-v1,entity,1
deepseek-r1-8b-s1-v2,scrum,4
deepseek-r1-8b-s1-v2,optimization problem,3
deepseek-r1-8b-s1-v2,story,3
deepseek-r1-8b-s1-v2,integer programming,2
deepseek-r1-8b-s1-v2,objective function,2
deepseek-r1-8b-s1-v1,scrum,4
deepseek-r1-8b-s1-v1,optimization problem,2
deepseek-r1-8b-s1-v1,role,2
deepseek-r1-8b-s1-v1,story,2
deepseek-r1-8b-s1-v1,benefit,1
